Torkild U. Resheim	2012-12-18	2012-12-18	true	 1	8	7
Gerrit Code Review @ Eclipse.org	2012-12-17	2012-12-13	true	 2	104	4
Tom Seidel	2012-12-17	2012-12-17	false	 3	33	49
Tom Seidel	2012-12-16	2012-12-16	false	 3	49	33
David Green	2012-12-12	2012-12-12	false	 1	1	1
Billy Huang	2012-12-12	2012-12-12	true	 3	157	0
Torkild U. Resheim	2012-11-08	2012-11-08	true	 2	2	2
Torkild U. Resheim	2012-11-07	2012-11-07	true	 4	3	3
Torkild U. Resheim	2012-11-07	2012-11-07	true	 5	114	5
Torkild U. Resheim	2012-11-03	2012-11-03	true	 1	16	12
Torkild U. Resheim	2012-11-03	2012-11-03	true	 4	27	21
Jeremie Bresson	2012-10-16	2012-10-16	true	 2	37	2
David Green	2012-10-11	2012-10-11	true	 3	29	5
David Green	2012-10-11	2012-09-27	true	 2	25	1
David Green	2012-10-09	2012-10-09	true	 10	262	49
Torkild U. Resheim	2012-09-20	2012-09-20	true	 1	1	0
Torkild U. Resheim	2012-09-20	2012-09-20	true	 1	1	2
Jeremie Bresson	2012-09-19	2012-09-19	true	 2	37	6
Steffen Pingel	2012-09-15	2012-09-15	true	 1	4	0
David Green	2012-09-13	2012-09-13	true	 3	60	60
Steffen Pingel	2012-09-06	2012-09-06	true	 34	68	0
David Green	2012-09-05	2012-09-05	true	 3	179	27
Torkild U. Resheim	2012-08-01	2012-08-01	true	 13	426	57
David Green	2012-07-27	2012-07-23	true	 5	57	4
Torkild U. Resheim	2012-07-25	2012-07-25	true	 6	8	0
Torkild U. Resheim	2012-07-24	2012-07-24	true	 1	8	13
Torkild U. Resheim	2012-07-23	2012-07-23	true	 1	0	16
David Green	2012-07-23	2012-07-20	true	 2	38	2
David Green	2012-07-20	2012-07-19	true	 2	28	3
David Green	2012-07-20	2012-07-20	true	 1	17	10
Steffen Pingel	2012-07-18	2012-07-18	false	 1	1	0
Torkild U. Resheim	2012-07-11	2012-07-11	true	 2	14	5
David Green	2012-07-09	2012-07-09	false	 2	40	1
David Green	2012-07-09	2012-07-09	true	 2	47	6
David Green	2012-07-09	2012-07-09	false	 1	14	2
David Green	2012-07-09	2012-07-05	true	 4	127	4
Steffen Pingel	2012-07-04	2012-07-04	false	 63	96	96
Torkild U. Resheim	2012-06-26	2012-06-26	true	 2	227	13
Torkild U. Resheim	2012-06-21	2012-06-21	true	 3	2	6
Torkild U. Resheim	2012-06-21	2012-06-21	true	 1	3	4
Torkild U. Resheim	2012-06-21	2012-06-21	true	 4	4	4
Torkild U. Resheim	2012-06-21	2012-06-21	true	 1	1	1
Torkild U. Resheim	2012-06-21	2012-06-21	true	 23	103	110
Torkild U. Resheim	2012-06-04	2012-06-04	true	 1	1	1
Torkild U. Resheim	2012-06-04	2012-06-04	true	 1	12	14
Torkild U. Resheim	2012-06-04	2012-06-04	true	 1	2	2
Steffen Pingel	2012-06-04	2012-06-04	true	 15	134	16
Steffen Pingel	2012-06-04	2012-05-25	true	 10	676	0
Steffen Pingel	2012-06-04	2012-06-04	true	 4	17	17
Steffen Pingel	2012-06-04	2012-06-04	false	 1	1	14
Steffen Pingel	2012-06-04	2012-06-04	false	 1	8	9
Steffen Pingel	2012-06-04	2012-06-04	false	 1	0	1
Steffen Pingel	2012-06-04	2012-06-04	false	 2	2	2
Torkild U. Resheim	2012-05-21	2012-05-21	true	 49	131	47
Torkild U. Resheim	2012-05-20	2012-05-20	true	 7	200	82
Torkild U. Resheim	2012-05-18	2012-05-18	true	 15	101	76
Torkild U. Resheim	2012-05-18	2012-05-18	true	 8	309	437
Torkild U. Resheim	2012-05-18	2012-05-18	true	 14	264	283
Torkild U. Resheim	2012-05-17	2012-05-17	true	 4	142	12
Torkild U. Resheim	2012-05-17	2012-05-17	true	 5	49	15
David Green	2012-05-15	2012-05-15	true	 7	64	64
Torkild U. Resheim	2012-05-12	2012-05-12	true	 2	2	2
Torkild U. Resheim	2012-05-09	2012-05-09	true	 5	51	10
Torkild U. Resheim	2012-05-04	2012-05-04	true	 2	54	17
Torkild U. Resheim	2012-05-03	2012-05-03	true	 1	1	1
Torkild U. Resheim	2012-05-03	2012-05-03	true	 5	172	79
Torkild U. Resheim	2012-05-03	2012-05-03	true	 5	59	11
Torkild U. Resheim	2012-04-29	2012-04-29	true	 4	25	20
David Green	2012-04-26	2012-04-26	false	 6	6	6
David Green	2012-04-26	2012-04-26	true	 6	246	22
Torkild U. Resheim	2012-04-25	2012-04-25	true	 6	86	9
Torkild U. Resheim	2012-04-17	2012-04-17	true	 2	17	9
David Green	2012-04-16	2012-04-16	true	 4	30	4
Torkild U. Resheim	2012-04-16	2012-04-16	false	 33	370	168
